component,gpt2_small_124M,gpt2_medium,gpt2_large,gpt2_xl,gpt3_ada,gpt3_babbage,gpt3_curie,gpt3_davinci,pile_trained_1.3B,cc100_en_1.3B,rawcc_en_1.3B
Pile-CC,1.0878,0.9992,0.9582,0.9355,0.9212,0.8483,0.7849,0.7070,0.9989,1.0873,1.0287
PubMed Central,1.0759,0.9788,0.9334,0.9044,0.8633,0.7792,0.7150,0.6544,0.6332,1.1311,0.9120
Books3,1.1959,1.1063,1.0588,1.0287,0.9778,0.9005,0.8284,0.7052,1.0734,1.2264,1.1366
OpenWebText2,1.1111,1.0073,0.9539,0.9171,0.8727,0.7921,0.7199,0.6242,0.9938,1.2222,1.0732
ArXiv,1.3548,1.2305,1.1778,1.1381,1.0304,0.9259,0.8453,0.7702,0.7945,1.8159,1.2642
Github,1.7912,1.3180,1.7909,1.6486,0.8761,0.7335,0.6415,0.5635,0.5597,1.6509,0.9301
FreeLaw,1.0512,0.9321,0.9017,0.8747,0.8226,0.7381,0.6667,0.6006,0.6978,1.0221,0.9468
Stack Exchange,1.2981,1.1075,1.0806,1.0504,1.0096,0.8839,0.8004,0.7321,0.8152,1.5414,1.1292
USPTO Backgrounds,0.8288,0.7564,0.7202,0.6969,0.6799,0.6230,0.5752,0.5280,0.6731,0.8772,0.8455
PubMed Abstracts,0.9524,0.8579,0.8108,0.7810,0.8130,0.7382,0.6773,0.6201,0.7313,1.0193,0.9718
Gutenberg (PG-19),1.2655,1.1140,1.0820,1.0829,0.9776,0.8749,0.7930,0.7115,1.1426,1.2780,1.2235
OpenSubtitles,1.2465,1.1657,1.1324,1.1129,1.1116,1.0488,0.9875,0.9130,1.0909,1.1827,1.2139
Wikipedia (en),1.1285,1.0213,0.9795,0.9655,0.8757,0.7863,0.7047,0.5953,0.8961,1.1807,1.0252
DM Mathematics,2.6911,2.5448,2.4833,2.4377,2.3249,2.2015,2.1067,2.0228,1.5206,3.1774,2.6229
Ubuntu IRC,1.8466,1.7187,1.6427,1.6024,1.3139,1.1968,1.0995,0.9915,1.4085,2.1243,1.5691
BookCorpus2,1.1295,1.0498,1.0061,0.9783,0.9754,0.9041,0.8435,0.7788,1.0613,1.1346,1.0914
EuroParl,2.3177,2.0204,1.8770,1.7650,1.0475,0.9363,0.8415,0.7519,1.1202,2.7141,1.4917
HackerNews,1.4433,1.2794,1.3143,1.3361,1.1736,1.0875,1.0175,0.9457,1.0968,1.4352,1.2305
YoutubeSubtitles,2.0387,1.8412,1.7355,1.6694,1.3407,1.1876,1.0639,0.9469,1.4269,2.3287,1.5607
PhilPapers,1.3203,1.2163,1.1688,1.1327,1.0362,0.9530,0.8802,0.8059,1.1256,1.4269,1.2090
NIH ExPorter,0.9099,0.8323,0.7946,0.7694,0.7974,0.7326,0.6784,0.6239,0.7347,0.9713,0.9225
Enron Emails,1.5888,1.4119,1.4535,1.4222,1.2634,1.1685,1.0990,1.0201,0.8301,1.3300,1.0483
THE PILE (aggregate),1.2253,1.0928,1.0828,1.0468,0.9631,0.8718,0.7980,0.7177,,,
# Columns 2-9: Gao et al. arXiv:2101.00027 Table 2 (zero-shot, per-document, 1/10 of test set).
# Columns 10-12: same paper Table 4 (1.3B GPT-2-style models trained on 40GB subsamples, Pile heldout).
# Aggregate row absent for Table 4 columns - not reported in that table.
