== frozen25 seeds [0, 1]
  text_p1        [2.0508, 2.065]
  text_afterA    [2.0695, 2.0468]
  text_final     [2.0445, 2.0343]
  A_bps@A        [139.38, 138.07]
  A_bps@end      [177.18, 176.31]
  B_bps@end      [189.4, 185.11]
  A_bpp@A        [5.3606, 5.3104]
  B_bpp@end      [7.2846, 7.1195]
  A_pos/s@A      [25.0, 25.0]
  A_pos/s@end    [25.0, 25.0]
  B_pos/s@end    [25.0, 25.0]
  A_capb@A       [0.3328, 0.3145]
  A_capb@end     [2.6771, 2.4144]
  B_capb@end     [0.1327, 0.1316]
  A_und@A        [0.016, 0.047]
  A_und@end      [0.0, 0.0]
  B_und@end      [0.143, 0.155]
  A_gen1@A       [0.01, 0.031]
  A_gen.7@A      [0.0, 0.01]
  A_gen.7@end    [0.042, 0.0]
  B_gen.7dur@end [None, None]
  A_gen.7dur@A   [None, None]
  B_gen1@end     [0.036, 0.107]
  B_gen.7@end    [0.125, 0.018]
  A_mel@A        [0.5319, 0.5319]
  A_mel@end      [0.5319, 0.5319]
  B_mel@A        [0.6215, 0.6215]
  B_mel@end      [0.6215, 0.6215]
  A_recx@end     [0.347, 0.347]
  B_recx@end     [0.271, 0.271]
  A_codes@end    [574, 574]
  B_codes@end    [438, 438]
  wA@A           [0.4228, 0.42]
  wA@end         [0.6094, 0.5743]
  wB@end         [0.3297, 0.3475]
  windows        [9866, 9870]
  wall_s         [282.1, 201.4]
  s/win          [0.02232, 0.0157]
  minted_in_data [0, 0]
  mints          [0, 0]
  drift          [{'flipA_per_1kwin_mean': 0.0, 'flipB_per_1kwin_mean': 0.0, 'flipA_vs_codecphase_end': 0.0, 'flipB_vs_codecphase_end': 0.0}, {'flipA_per_1kwin_mean': 0.0, 'flipB_per_1kwin_mean': 0.0, 'flipA_vs_codecphase_end': 0.0, 'flipB_vs_codecphase_end': 0.0}]
== live25 seeds [0, 1]
  text_p1        [2.0508, 2.065]
  text_afterA    [2.0679, 2.0568]
  text_final     [2.0428, 2.035]
  A_bps@A        [136.34, 133.8]
  A_bps@end      [175.08, 171.08]
  B_bps@end      [187.25, 182.28]
  A_bpp@A        [5.2437, 5.146]
  B_bpp@end      [7.2019, 7.0109]
  A_pos/s@A      [25.0, 25.0]
  A_pos/s@end    [25.0, 25.0]
  B_pos/s@end    [25.0, 25.0]
  A_capb@A       [0.3475, 0.3061]
  A_capb@end     [2.5115, 2.3013]
  B_capb@end     [0.1377, 0.1376]
  A_und@A        [0.0, 0.094]
  A_und@end      [0.0, 0.0]
  B_und@end      [0.095, 0.167]
  A_gen1@A       [0.042, 0.021]
  A_gen.7@A      [0.021, 0.031]
  A_gen.7@end    [0.042, 0.021]
  B_gen.7dur@end [None, None]
  A_gen.7dur@A   [None, None]
  B_gen1@end     [0.054, 0.036]
  B_gen.7@end    [0.071, 0.036]
  A_mel@A        [0.5161, 0.5236]
  A_mel@end      [0.5264, 0.5236]
  B_mel@A        [0.6246, 0.6269]
  B_mel@end      [0.6144, 0.6145]
  A_recx@end     [0.229, 0.292]
  B_recx@end     [0.188, 0.25]
  A_codes@end    [566, 566]
  B_codes@end    [451, 441]
  wA@A           [0.4189, 0.4232]
  wA@end         [0.561, 0.5917]
  wB@end         [0.3407, 0.3429]
  windows        [9866, 9870]
  wall_s         [375.6, 231.9]
  s/win          [0.03106, 0.0189]
  minted_in_data [0, 0]
  mints          [0, 0]
  drift          [{'flipA_per_1kwin_mean': 0.0475, 'flipB_per_1kwin_mean': 0.0463, 'flipA_vs_codecphase_end': 0.2475, 'flipB_vs_codecphase_end': 0.2375}, {'flipA_per_1kwin_mean': 0.0519, 'flipB_per_1kwin_mean': 0.0485, 'flipA_vs_codecphase_end': 0.2847, 'flipB_vs_codecphase_end': 0.2604}]
== live25free seeds [0, 1]
  text_p1        [2.0508, 2.065]
  text_afterA    [2.0687, 2.0508]
  text_final     [2.0475, 2.0362]
  A_bps@A        [137.41, 133.62]
  A_bps@end      [179.93, 181.04]
  B_bps@end      [188.6, 188.89]
  A_bpp@A        [5.2851, 5.1393]
  B_bpp@end      [7.2539, 7.2649]
  A_pos/s@A      [25.0, 25.0]
  A_pos/s@end    [25.0, 25.0]
  B_pos/s@end    [25.0, 25.0]
  A_capb@A       [0.3324, 0.3107]
  A_capb@end     [2.3737, 2.603]
  B_capb@end     [0.1334, 0.1244]
  A_und@A        [0.016, 0.094]
  A_und@end      [0.0, 0.0]
  B_und@end      [0.155, 0.262]
  A_gen1@A       [0.0, 0.021]
  A_gen.7@A      [0.052, 0.021]
  A_gen.7@end    [0.01, 0.021]
  B_gen.7dur@end [None, None]
  A_gen.7dur@A   [None, None]
  B_gen1@end     [0.071, 0.107]
  B_gen.7@end    [0.054, 0.089]
  A_mel@A        [0.5508, 0.5429]
  A_mel@end      [0.5758, 0.5666]
  B_mel@A        [0.6351, 0.6343]
  B_mel@end      [0.6192, 0.6141]
  A_recx@end     [0.257, 0.299]
  B_recx@end     [0.26, 0.26]
  A_codes@end    [595, 584]
  B_codes@end    [441, 447]
  wA@A           [0.4211, 0.419]
  wA@end         [0.5936, 0.5858]
  wB@end         [0.3317, 0.3371]
  windows        [9866, 9870]
  wall_s         [238.3, 237.3]
  s/win          [0.01941, 0.01923]
  minted_in_data [0, 0]
  mints          [0, 0]
  drift          [{'flipA_per_1kwin_mean': 0.1371, 'flipB_per_1kwin_mean': 0.1313, 'flipA_vs_codecphase_end': 0.4989, 'flipB_vs_codecphase_end': 0.5208}, {'flipA_per_1kwin_mean': 0.1597, 'flipB_per_1kwin_mean': 0.1495, 'flipA_vs_codecphase_end': 0.4508, 'flipB_vs_codecphase_end': 0.495}]
== live50bpe seeds [0, 1]
  text_p1        [2.0508, 2.065]
  text_afterA    [2.0964, 2.058]
  text_final     [2.06, 2.0151]
  A_bps@A        [193.79, 199.11]
  A_bps@end      [251.53, 250.88]
  B_bps@end      [287.89, 292.11]
  A_bpp@A        [4.86, 4.9391]
  B_bpp@end      [6.5777, 6.6607]
  A_pos/s@A      [38.68, 39.06]
  A_pos/s@end    [35.69, 35.96]
  B_pos/s@end    [42.71, 42.78]
  A_capb@A       [0.3296, 0.2994]
  A_capb@end     [2.3937, 2.4108]
  B_capb@end     [0.1227, 0.124]
  A_und@A        [0.0, 0.078]
  A_und@end      [0.0, 0.0]
  B_und@end      [0.274, 0.238]
  A_gen1@A       [0.042, 0.031]
  A_gen.7@A      [0.01, 0.062]
  A_gen.7@end    [0.031, 0.042]
