/usr/local/lib/python3.11/dist-packages/torch/_subclasses/functional_tensor.py:368: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /__w/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
50 0.598 0.763671875
100 0.125 0.939453125
150 0.054 0.931640625
200 0.004 1.0
250 0.146 0.994140625
300 0.04 0.970703125
350 0.004 0.99609375
400 0.003 0.9921875
450 0.025 1.0
500 0.001 1.0
550 0.0 0.99609375
600 0.002 1.0
650 0.0 0.994140625
700 0.029 0.974609375
750 0.001 1.0
800 0.001 1.0
850 0.0 0.998046875
900 0.0 0.998046875
950 0.0 1.0
1000 0.0 1.0
1050 0.0 1.0
1100 0.0 0.994140625
1150 0.0 1.0
1200 0.107 0.96875
1250 0.001 0.998046875
1300 0.001 0.998046875
1350 0.0 0.998046875
1400 0.003 1.0
1450 0.0 1.0
1500 0.001 1.0
1550 0.001 1.0
1600 0.001 0.998046875
1650 0.0 1.0
1700 0.025 0.990234375
1750 0.001 1.0
1800 0.0 1.0
1850 0.0 1.0
1900 0.0 0.994140625
1950 0.0 0.998046875
2000 0.0 1.0
2050 0.0 1.0
2100 0.0 1.0
2150 0.0 1.0
2200 0.0 1.0
2250 0.001 1.0
2300 0.0 1.0
2350 0.0 1.0
2400 0.0 1.0
2450 0.0 1.0
2500 0.0 1.0
2550 0.0 0.998046875
2600 0.0 1.0
2650 0.0 1.0
2700 0.0 1.0
2750 0.022 0.99609375
2800 0.006 1.0
2850 0.0 1.0
2900 0.0 1.0
2950 0.0 1.0
3000 0.0 1.0
3050 0.0 1.0
3100 0.0 1.0
3150 0.0 1.0
3200 0.0 1.0
3250 0.0 1.0
3300 0.0 1.0
3350 0.0 1.0
3400 0.0 1.0
3450 0.0 1.0
3500 0.0 1.0
3550 0.0 1.0
3600 0.0 1.0
3650 0.0 1.0
3700 0.0 1.0
3750 0.0 1.0
3800 0.0 1.0
3850 0.0 1.0
3900 0.0 1.0
3950 0.0 1.0
4000 0.0 1.0
4050 0.0 1.0
4100 0.0 1.0
4150 0.0 1.0
4200 0.0 1.0
4250 0.0 1.0
4300 0.0 1.0
4350 0.0 1.0
4400 0.0 1.0
4450 0.0 1.0
4500 0.0 1.0
4550 0.0 1.0
{"steps": 4550, "heldout_acc": 1.0}
